name,rms,iteracion
8,0.09375,102
8,0.0938,128
8,0,256
80,0.09375,102
80,0.09375,128
80,0,256
800,0.09375,102
800,0.09375,128
800,0,256
8000,0.09375,102
8000,0.09375,128
8000,0,256
80000,0.09375,102
80000,0.09375,128
80000,0,256
8,0.3125,1128
8,0.46875,1256
80,0.359375,1128
80,0.453125,1256
800,0.25,1128
800,0.28125,1256
8000,0.2968,1128
8000,0.3906,1256
