name,rms,iteracion
8,58.41109,102
8,58.411,128
8,100,256
80,58.41109,102
80,58.411,128
80,100,256
800,58.41109,102
800,58.411,128
800,100,256
8000,58.41109,102
8000,58.411,128
8000,100,256
80000,58.41109,102
80000,58.411,128
80000,100,256
8,52.04287,1128
8,51.4214,1256
80,52.57532,1128
80,51.5686,1256
800,54.1514,1128
800,53.6399,1256
8000,53.405,1128
8000,52.2132,1256
