name,rms,iteracion
8,0.7103,102
8,0.1566,128
8,0.7431,256
80,0.7103,102
80,0.7103,128
80,1,256
800,0.7103,102
800,0.7103,128
800,1,256
8000,0.7103,102
8000,0.7103,128
8000,1,256
80000,0.7103,102
80000,0.7103,128
80000,1,256
8,0.189,1128
8,-0.05001,1256
80,-0.1351,1128
80,-0.0505,1256
800,0.06405,1128
800,0.3378,1256
8000,0.0003,1128
8000,0.0056,1256
