name,tiempo,iteracion
16,487.454507350922,102
16,675.270314455032,128
16,2748.51375579834,256
160,430.407330989838,102
160,818.668334960938,128
160,2759.80222725868,256
1600,463.490916967392,102
1600,724.215068340302,128
1600,3011.37735486031,256
16000,839.968774557114,102
16000,1310.85279035568,128
16000,5432.83517360687,256
160000,4659.82543516159,102
160000,6859.18239331245,128
160000,29242.6880140305,256
16,423.2768092,1102
16,753.6159348,1128
16,2837.90198,1256
160,430.5603592,1102
160,643.4842384,1128
160,2811.123623,1256
1600,454.0805728,1102
1600,692.9065793,1128
1600,3053.115613,1256
16000,838.6016855,1102
16000,1267.253444,1128
16000,5410.968757,1256
160000,4927.008976,1102
160000,7222.001823,1128
160000,31014.7049078941,1256
