name,rms,iteracion
8,0.7103,102
8,0.71027,128
8,1,256
80,0.7103,102
80,0.71027,128
80,1,256
800,0.7103,102
800,0.71027,128
800,1,256
8000,0.7103,102
8000,0.71027,128
8000,1,256
80000,0.7103,102
80000,0.71027,128
80000,1,256
8,0.0827,1128
8,0.0316,1256
80,0.0435,1128
80,-0.0861,1256
800,0.1686,1128
800,0.2015,1256
8000,-0.171,1128
8000,-0.1892,1256
